Global Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.055,  0.102,  0.089, -0.151, -0.073, -0.140, -0.052, -0.182, -0.094, -0.213, -0.184, -0.242, -0.090, -0.080,  0.012, -0.045, -0.124, -0.164
2003,  0.033, -0.105, -0.199, -0.184, -0.106, -0.192, -0.083, -0.066, -0.100, -0.026, -0.243,  0.068, -0.100, -0.126, -0.104, -0.163, -0.114, -0.123
2004, -0.137,  0.036, -0.162, -0.124, -0.336, -0.230, -0.400, -0.256, -0.222, -0.150, -0.048, -0.173, -0.183, -0.163, -0.011, -0.207, -0.295, -0.140
2005,  0.025, -0.086, -0.053, -0.056, -0.085, -0.027, -0.047, -0.110, -0.013, -0.003, -0.041, -0.001, -0.042, -0.056, -0.078, -0.065, -0.061, -0.019
2006, -0.162,  0.043, -0.165, -0.253, -0.223, -0.013, -0.123, -0.009, -0.077, -0.060, -0.035,  0.107, -0.081, -0.090, -0.040, -0.214, -0.048, -0.057
2007,  0.300,  0.013, -0.067,  0.030, -0.021, -0.054, -0.062, -0.120, -0.125, -0.168, -0.187, -0.186, -0.054, -0.030,  0.140, -0.019, -0.079, -0.160
2008, -0.417, -0.308, -0.050, -0.198, -0.223, -0.175, -0.063, -0.246, -0.113, -0.085, -0.084, -0.140, -0.175, -0.179, -0.304, -0.157, -0.161, -0.094
2009, -0.075, -0.159, -0.255, -0.125, -0.063, -0.020,  0.074, -0.036, -0.002, -0.107,  0.020, -0.004, -0.063, -0.074, -0.125, -0.148,  0.006, -0.030
2010,  0.027,  0.149,  0.127,  0.115,  0.040,  0.005, -0.036, -0.050, -0.096, -0.052,  0.038, -0.233,  0.003,  0.022,  0.057,  0.094, -0.027, -0.037
2011, -0.206, -0.209, -0.141, -0.085, -0.181, -0.046,  0.041,  0.030, -0.159, -0.098, -0.192, -0.078, -0.110, -0.123, -0.216, -0.136,  0.008, -0.149
2012, -0.231, -0.194, -0.216, -0.008,  0.073, -0.020, -0.077, -0.068, -0.005,  0.040,  0.013, -0.149, -0.070, -0.064, -0.168, -0.050, -0.055,  0.016
2013, -0.015, -0.062, -0.121, -0.195, -0.104,  0.022, -0.059, -0.016,  0.046, -0.060,  0.067,  0.017, -0.040, -0.054, -0.075, -0.140, -0.018,  0.018
2014,  0.036, -0.136, -0.010,  0.064,  0.148,  0.005, -0.078,  0.111,  0.151,  0.054, -0.108,  0.105,  0.029,  0.021, -0.028,  0.067,  0.013,  0.032
2015,  0.131,  0.220,  0.164,  0.023,  0.091,  0.148,  0.072,  0.089,  0.124,  0.343,  0.290,  0.483,  0.181,  0.150,  0.152,  0.093,  0.103,  0.252
2016,  0.451,  0.687,  0.568,  0.380,  0.239,  0.136,  0.187,  0.305,  0.179,  0.134,  0.144,  0.186,  0.300,  0.324,  0.540,  0.396,  0.209,  0.152
2017,  0.300,  0.454,  0.373,  0.212,  0.196,  0.051,  0.157,  0.157,  0.044,  0.147,  0.110,  0.258,  0.205,  0.199,  0.313,  0.260,  0.122,  0.100
2018,  0.092,  0.162,  0.092,  0.152,  0.114,  0.111,  0.167,  0.052,  0.077,  0.263,  0.053,  0.238,  0.131,  0.133,  0.171,  0.119,  0.110,  0.131
2019,  0.210,  0.265,  0.379,  0.280,  0.135,  0.244,  0.284,  0.230,  0.199,  0.260,  0.223,  0.410,  0.260,  0.245,  0.237,  0.265,  0.253,  0.227
2020,  0.444,  0.558,  0.378,  0.400,  0.309,  0.257,  0.245,  0.159,  0.265,  0.136,  0.336,  0.135,  0.302,  0.325,  0.471,  0.362,  0.220,  0.245
2021,  0.094, -0.040,  0.091,  0.026,  0.075,  0.181,  0.264,  0.099,  0.196,  0.242,  0.156,  0.176,  0.130,  0.127,  0.063,  0.064,  0.181,  0.198
2022,  0.190,  0.209,  0.259,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.191,*******,*******,*******
